transactionreference,paymenttypedescription,transactionstartedtimestamp,currencyiso3a,mainamount,settlemainamount,settledtimestamp,settlestatus,errorcode,accounttypedescription,requesttypedescription
23-9-80007,VISA,2016-09-04 10:29:36,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80008,VISA,2016-09-06 15:41:58,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80009,VISA,2016-09-05 23:46:58,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80010,VISA,2016-09-03 09:48:25,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80016,VISA,2016-09-03 06:57:51,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80018,VISA,2016-09-03 17:38:05,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80020,VISA,2016-09-05 06:46:28,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80024,VISA,2016-09-04 22:07:34,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80027,VISA,2016-09-03 01:07:29,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80028,VISA,2016-09-04 01:16:56,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80032,VISA,2016-09-03 19:05:48,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80033,VISA,2016-09-03 09:01:35,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80035,VISA,2016-09-04 17:31:29,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80037,VISA,2016-09-04 22:42:25,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80038,VISA,2016-09-06 15:26:33,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80039,VISA,2016-09-04 09:11:13,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80040,VISA,2016-09-03 13:13:18,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80042,VISA,2016-09-04 02:17:33,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80047,VISA,2016-09-06 12:31:25,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80048,VISA,2016-09-04 01:04:32,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80049,VISA,2016-09-03 20:26:23,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80052,VISA,2016-09-04 22:06:47,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80058,VISA,2016-09-05 12:13:49,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80059,VISA,2016-09-03 07:16:33,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80060,VISA,2016-09-05 22:52:34,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80067,VISA,2016-09-06 12:41:03,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
23-9-80068,VISA,2016-09-03 19:56:17,GBP,20000.11,20000.11,2016-09-06 09:15:45,100,0,ECOM,AUTH
