transactionreference,paymenttypedescription,transactionstartedtimestamp,currencyiso3a,mainamount,settlemainamount,settledtimestamp,settlestatus,errorcode,accounttypedescription,requesttypedescription
23-9-80047,VISA,2016-06-09 05:59:04,GBP,10000.00,10000.00,,1,0,ECOM,AUTH
23-9-80048,VISA,2016-06-10 02:28:33,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80049,VISA,2016-06-01 06:44:14,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80050,VISA,2016-06-05 06:08:18,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80051,VISA,2016-07-16 01:36:14,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80052,VISA,2016-06-15 11:24:31,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80053,VISA,2016-07-05 02:14:38,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80054,VISA,2016-06-18 06:53:58,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80055,VISA,2016-07-03 04:40:25,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80056,VISA,2016-07-01 09:56:37,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80057,VISA,2016-06-15 05:10:43,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80059,VISA,2016-06-09 04:19:36,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80060,VISA,2016-07-11 03:48:27,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80061,VISA,2016-07-15 07:40:07,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80062,VISA,2016-07-02 09:15:16,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80063,VISA,2016-07-09 12:01:02,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80064,VISA,2016-07-06 02:30:51,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80065,VISA,2016-07-11 02:05:53,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80066,VISA,2016-07-09 04:27:26,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80067,VISA,2016-06-04 10:07:12,GBP,1.00,1.00,,1,0,ECOM,AUTH
23-9-80068,VISA,2016-06-05 01:04:27,GBP,1.00,1.00,,1,0,ECOM,AUTH
